tick,scent_id,energy,x,"y,"
1401,1,727.8999999999367,37,5,
1401,0,1009.6999999999503,13,57,
1401,2,728.599999999939,15,26,
1401,6,856.4999999999566,43,5,
1401,8,814.6999999999659,38,4,
1401,3,1115.7999999999395,1,9,
1426,0,1023.1999999999491,13,57,
1426,9,230.79999999999234,23,18,
1426,3,1171.2999999999383,1,9,
1426,2,717.0999999999378,15,26,
1426,1,804.3999999999355,37,5,
1426,8,874.1999999999648,38,4,
1426,6,893.9999999999554,43,5,
1451,9,221.5999999999924,23,18,
1451,1,824.8999999999344,37,5,
1451,2,692.5999999999367,15,26,
1451,3,1217.7999999999372,1,9,
1451,6,925.4999999999543,43,5,
1451,0,1034.699999999948,13,57,
1451,8,889.6999999999637,38,4,
1476,3,1328.299999999936,1,9,
1476,8,966.1999999999625,38,4,
1476,0,1058.1999999999468,13,57,
1476,9,200.2999999999925,23,18,
1476,1,814.3999999999332,37,5,
1476,2,679.0999999999356,15,26,
1476,6,934.9999999999532,43,5,
1501,0,1066.6999999999457,13,57,
1501,2,668.5999999999344,15,26,
1501,1,781.8999999999321,37,5,
1501,8,1029.6999999999614,38,4,
1501,3,902.7999999999349,1,9,
1501,6,937.499999999952,43,5,
1501,10,981.4999999999998,99,8,
1501,9,181.49999999999255,23,18,
1526,2,672.0999999999333,15,26,
1526,10,888.9999999999986,99,8,
1526,1,755.399999999931,37,5,
1526,3,949.2999999999338,1,9,
1526,9,165.3999999999926,23,18,
1526,8,1070.1999999999603,38,4,
1526,0,1054.1999999999446,13,57,
1526,6,921.9999999999509,43,5,
1551,1,729.8999999999298,37,5,
1551,10,861.4999999999975,99,8,
1551,6,886.4999999999498,43,5,
1551,0,1066.6999999999434,13,57,
1551,2,686.5999999999322,15,26,
1551,8,1100.6999999999591,38,4,
1551,9,138.89999999999264,23,18,
1551,3,977.7999999999327,1,9,
1576,9,112.09999999999266,23,18,
1576,2,700.099999999931,15,26,
1576,6,877.9999999999486,43,5,
1576,8,1101.199999999958,38,4,
1576,0,1065.1999999999423,13,57,
1576,10,884.9999999999964,99,8,
1576,1,698.3999999999287,37,5,
1576,3,996.2999999999315,1,9,
1601,2,751.5999999999299,15,26,
1601,8,1073.1999999999568,38,4,
1601,3,1008.7999999999304,1,9,
1601,6,903.4999999999475,43,5,
1601,1,698.3999999999276,37,5,
1601,9,81.99999999999265,23,18,
1601,10,892.4999999999952,99,8,
1626,3,1032.2999999999292,1,9,
1626,1,699.8999999999264,37,5,
1626,10,918.9999999999941,99,8,
1626,9,56.29999999999265,23,18,
1626,6,919.9999999999463,43,5,
1626,8,1037.6999999999557,38,4,
1626,2,774.0999999999287,15,26,
1651,10,928.499999999993,99,8,
1651,6,921.9999999999452,43,5,
1651,9,35.59999999999265,23,18,
1651,2,798.5999999999276,15,26,
1651,3,1039.799999999928,1,9,
1651,8,994.6999999999546,38,4,
1651,1,698.3999999999253,37,5,
1676,2,815.0999999999265,15,26,
1676,9,12.899999999992648,23,18,
1676,8,974.6999999999534,38,4,
1676,1,703.3999999999241,37,5,
1676,3,1032.299999999927,1,9,
1676,6,910.4999999999441,43,5,
1676,10,940.9999999999918,99,8,
1701,8,971.6999999999523,38,4,
1701,2,808.5999999999253,15,26,
1701,6,909.9999999999429,43,5,
1701,10,928.4999999999907,99,8,
1701,3,1011.7999999999258,1,9,
1701,1,700.399999999923,37,5,
1726,3,979.2999999999247,1,9,
1726,6,954.4999999999418,43,5,
1726,8,955.1999999999512,38,4,
1726,1,699.8999999999219,37,5,
1726,2,816.0999999999242,15,26,
1726,10,922.9999999999895,99,8,
1751,10,923.4999999999884,99,8,
1751,1,708.3999999999207,37,5,
1751,8,954.69999999995,38,4,
1751,3,954.7999999999236,1,9,
1751,6,990.9999999999407,43,5,
1751,2,834.599999999923,15,26,
1776,10,905.9999999999873,99,8,
1776,2,858.0999999999219,15,26,
1776,6,1030.4999999999395,43,5,
1776,8,942.6999999999489,38,4,
1776,3,926.2999999999224,1,9,
1776,1,696.3999999999196,37,5,
1801,1,745.8999999999185,37,5,
1801,3,882.7999999999213,1,9,
1801,2,897.5999999999208,15,26,
1801,8,933.1999999999477,38,4,
1801,10,882.4999999999861,99,8,
1801,6,1045.9999999999384,43,5,
1826,1,745.3999999999173,37,5,
1826,10,894.999999999985,99,8,
1826,8,952.6999999999466,38,4,
1826,6,1047.4999999999372,43,5,
1826,2,925.0999999999196,15,26,
1826,3,871.2999999999201,1,9,
1851,6,1044.999999999936,43,5,
1851,1,714.8999999999162,37,5,
1851,10,901.4999999999839,99,8,
1851,8,965.1999999999455,38,4,
1851,2,948.5999999999185,15,26,
1851,3,828.799999999919,1,9,
1876,10,891.9999999999827,99,8,
1876,1,697.399999999915,37,5,
1876,2,989.0999999999174,15,26,
1876,8,947.6999999999443,38,4,
1876,3,778.2999999999179,1,9,
1876,6,1029.499999999935,43,5,
1901,10,861.4999999999816,99,8,
1901,1,698.3999999999139,37,5,
1901,8,916.6999999999432,38,4,
1901,6,1017.9999999999338,43,5,
1901,3,737.7999999999167,1,9,
1926,3,698.2999999999156,1,9,
1926,1,699.3999999999128,37,5,
1926,6,1007.9999999999327,43,5,
1926,8,858.1999999999421,38,4,
1926,10,823.9999999999804,99,8,
1951,10,796.4999999999793,99,8,
1951,3,697.7999999999145,1,9,
1951,8,795.1999999999409,38,4,
1951,1,698.3999999999116,37,5,
1976,3,712.7999999999133,1,9,
1976,10,776.4999999999782,99,8,
1976,1,702.8999999999105,37,5,
1976,8,715.6999999999398,38,4,
2001,8,677.6999999999387,38,4,
2001,1,676.8999999999094,37,5,
2001,3,700.7999999999122,1,9,
2001,10,795.499999999977,99,8,
2026,1,663.5999999999083,37,5,
2026,8,663.3999999999376,38,4,
2026,10,780.4999999999759,99,8,
2051,10,775.9999999999748,99,8,
2051,8,638.6999999999366,38,4,
2051,1,638.7999999999072,37,5,
2076,1,634.0999999999062,37,5,
2076,8,633.8999999999355,38,4,
2076,10,777.4999999999736,99,8,
2101,10,769.9999999999725,99,8,
2101,8,625.0999999999344,38,4,
2126,8,619.9999999999334,38,4,
2126,10,772.4999999999714,99,8,
2151,10,768.9999999999702,99,8,
2176,10,890.4999999999691,99,8,
2201,10,913.9999999999679,99,8,
2226,10,928.4999999999668,99,8,
2251,10,927.9999999999657,99,8,
2276,10,940.4999999999645,99,8,
2301,10,943.9999999999634,99,8,
2326,10,979.4999999999623,99,8,
2351,10,1039.9999999999611,99,8,
2376,10,1096.49999999996,99,8,
2401,10,1180.9999999999588,99,8,
2426,10,1266.4999999999577,99,8,
2451,10,1293.9999999999566,99,8,
2476,10,1353.4999999999554,99,8,
2501,10,1390.9999999999543,99,8,
2526,10,997.4999999999532,99,8,
2526,11,922.299999999999,95,15,
2551,11,838.7999999999979,95,15,
2551,10,1047.999999999952,99,8,
2576,11,800.2999999999968,95,15,
2576,10,1091.499999999951,99,8,
2601,11,828.7999999999956,95,15,
2601,10,1135.9999999999498,99,8,
2626,10,1186.4999999999486,99,8,
2626,11,822.2999999999945,95,15,
2651,11,807.7999999999934,95,15,
2651,10,1222.9999999999475,99,8,
2676,11,831.2999999999922,95,15,
2676,10,1244.4999999999463,99,8,
2701,10,1271.9999999999452,99,8,
2701,11,825.7999999999911,95,15,
2726,10,1291.499999999944,99,8,
2726,11,782.29999999999,95,15,
2751,11,753.7999999999888,95,15,
2751,10,1319.999999999943,99,8,
2776,11,706.2999999999877,95,15,
2776,10,917.4999999999418,99,8,
2776,12,981.4999999999998,5,15,
2801,10,889.9999999999407,99,8,
2801,11,695.4999999999866,95,15,
2801,12,888.9999999999986,5,15,
2826,11,696.4999999999854,95,15,
2826,12,821.4999999999975,5,15,
2826,10,817.9999999999395,99,8,
2851,10,762.9999999999384,99,8,
2851,11,697.4999999999843,95,15,
2851,12,777.9999999999964,5,15,
2876,12,733.4999999999952,5,15,
2876,10,716.4999999999372,99,8,
2876,11,697.9999999999832,95,15,
2901,12,684.4999999999941,5,15,
2901,10,683.9999999999361,99,8,
2901,11,681.999999999982,95,15,
2926,12,660.499999999993,5,15,
2926,10,700.499999999935,99,8,
2926,11,698.699999999981,95,15,
2951,12,663.799999999992,5,15,
2951,11,688.8999999999799,95,15,
2951,10,688.9999999999338,99,8,
2976,12,625.2999999999909,5,15,
2976,11,652.3999999999787,95,15,
2976,10,652.8999999999328,99,8,
3001,12,571.8999999999899,5,15,
3001,11,644.7999999999777,95,15,
