tick,scent_id,energy,x,y,
1451,0,979.8999999999344,71,48,
1451,7,699.9999999999495,98,96,
1476,2,953.5999999999328,95,93,
1476,4,409.599999999962,61,54,
1476,8,411.8999999999787,57,58,
1476,1,950.5999999999328,97,48,
1476,7,696.4999999999484,98,96,
1476,5,634.2999999999331,33,19,
1476,3,60.199999999961534,21,77,
1476,11,862.7999999999961,68,44,
1476,0,987.3999999999332,71,48,
1476,10,59.299999999984465,18,84,
1501,2,910.5999999999317,95,93,
1501,11,866.299999999995,68,44,
1501,8,399.2999999999789,57,58,
1501,0,980.8999999999321,71,48,
1501,10,54.299999999984465,18,84,
1501,4,397.79999999996215,61,54,
1501,7,698.4999999999472,98,96,
1501,3,56.79999999996153,21,77,
1501,1,970.0999999999317,97,48,
1501,5,646.8999999999321,33,19,
1526,7,697.4999999999461,98,96,
1526,3,49.099999999961526,21,77,
1526,4,400.3999999999623,61,54,
1526,11,850.7999999999938,68,44,
1526,10,45.89999999998446,18,84,
1526,1,934.0999999999306,97,48,
1526,0,978.399999999931,71,48,
1526,8,397.3999999999791,57,58,
1526,5,732.399999999931,33,19,
1526,2,871.0999999999306,95,93,
1551,8,393.5999999999793,57,58,
1551,3,35.89999999996152,21,77,
1551,7,699.999999999945,98,96,
1551,1,953.0999999999294,97,48,
1551,0,963.8999999999298,71,48,
1551,4,393.59999999996245,61,54,
1551,10,36.699999999984456,18,84,
1551,2,835.0999999999294,95,93,
1551,11,840.2999999999927,68,44,
1551,5,812.8999999999298,33,19,
1576,8,377.89999999997946,57,58,
1576,0,954.3999999999287,71,48,
1576,10,34.29999999998445,18,84,
1576,4,379.6999999999626,61,54,
1576,1,981.0999999999283,97,48,
1576,7,708.9999999999438,98,96,
1576,3,53.89999999996152,21,77,
1576,11,810.7999999999915,68,44,
1576,2,806.5999999999283,95,93,
1601,2,773.0999999999271,95,93,
1601,4,362.99999999996277,61,54,
1601,11,741.2999999999904,68,44,
1601,0,927.8999999999276,71,48,
1601,1,1003.5999999999271,97,48,
1601,7,703.4999999999427,98,96,
1601,10,27.79999999998445,18,84,
1601,3,52.89999999996151,21,77,
1601,8,364.6999999999796,57,58,
1626,10,33.39999999998445,18,84,
1626,0,903.3999999999264,71,48,
1626,2,750.599999999926,95,93,
1626,11,697.7999999999893,68,44,
1626,3,65.1999999999615,21,77,
1626,4,350.79999999996295,61,54,
1626,7,701.9999999999416,98,96,
1626,1,1069.099999999926,97,48,
1626,8,347.2999999999797,57,58,
1651,4,346.49999999996305,61,54,
1651,0,826.3999999999253,71,48,
1651,11,698.7999999999881,68,44,
1651,10,23.799999999984458,18,84,
1651,7,698.4999999999404,98,96,
1651,3,70.9999999999615,21,77,
1651,1,1109.0999999999249,97,48,
1651,8,348.59999999997984,57,58,
1651,2,718.5999999999249,95,93,
1676,4,338.6999999999632,61,54,
1676,0,785.3999999999241,71,48,
1676,1,1170.5999999999237,97,48,
1676,2,696.5999999999237,95,93,
1676,11,701.799999999987,68,44,
1676,8,338.59999999997996,57,58,
1676,7,699.4999999999393,98,96,
1676,3,55.19999999996149,21,77,
1676,10,12.099999999984458,18,84,
1701,11,697.7999999999859,68,44,
1701,0,752.399999999923,71,48,
1701,3,27.099999999961486,21,77,
1701,10,12.399999999984459,18,84,
1701,8,327.9999999999801,57,58,
1701,4,327.79999999996335,61,54,
1701,1,1216.0999999999226,97,48,
1701,7,708.4999999999382,98,96,
1701,2,724.5999999999226,95,93,
1726,3,5.899999999961487,21,77,
1726,4,323.8999999999635,61,54,
1726,0,717.3999999999219,71,48,
1726,8,323.2999999999803,57,58,
1726,10,5.19999999998446,18,84,
1726,7,696.499999999937,98,96,
1726,1,1237.5999999999215,97,48,
1726,11,698.7999999999847,68,44,
1751,4,333.59999999996364,61,54,
1751,7,698.4999999999359,98,96,
1751,8,334.3999999999804,57,58,
1751,0,681.8999999999207,71,48,
1751,11,681.2999999999836,68,44,
1751,1,1238.5999999999203,97,48,
1776,1,1219.5999999999192,97,48,
1776,11,677.6999999999825,68,44,
