tick,scent_id,energy,x,y
3126,9,601.1999999999766,59,13,
3151,9,618.6999999999755,59,13,
3176,9,618.2999999999745,59,13,
3201,9,701.8999999999735,59,13,
3226,9,815.3999999999724,59,13,
3251,9,902.8999999999712,59,13,
3276,9,930.3999999999701,59,13,
3301,9,983.8999999999689,59,13,
3326,9,1013.3999999999678,59,13,
3351,9,1354.8999999999667,59,13,
3376,10,918.599999999999,53,21,
3376,9,1144.3999999999655,59,13,
3401,10,832.0999999999979,53,21,
3401,9,1317.8999999999644,59,13,
3426,11,950.1999999999994,57,12,
3426,10,829.5999999999967,53,21,
3426,9,1071.3999999999633,59,13,
3451,11,997.6999999999982,57,12,
3451,10,793.0999999999956,53,21,
3451,9,1206.8999999999621,59,13,
3476,10,716.5999999999945,53,21,
3476,9,1254.399999999961,59,13,
3476,11,1111.199999999997,57,12,
3501,10,661.2999999999934,53,21,
3501,9,1250.3999999999598,59,13,
3501,11,1167.699999999996,57,12,
3526,11,1153.1999999999948,57,12,
3526,9,1188.3999999999587,59,13,
3526,10,632.3999999999924,53,21,
3551,9,1111.8999999999576,59,13,
3551,11,1167.6999999999937,57,12,
3551,10,600.3999999999915,53,21,
3576,10,580.9999999999905,53,21,
3576,11,1056.6999999999925,57,12,
3576,9,1036.8999999999564,59,13,
3601,9,980.8999999999553,59,13,
3601,10,542.8999999999894,53,21,
3601,11,990.6999999999914,57,12,
3626,10,518.7999999999886,53,21,
3626,11,944.6999999999903,57,12,
3626,9,884.3999999999542,59,13,
3651,10,497.69999999998834,53,21,
3651,9,800.899999999953,59,13,
3651,11,958.6999999999891,57,12,
3676,11,903.699999999988,57,12,
3676,10,489.59999999998854,53,21,
3676,9,701.3999999999519,59,13,
3701,10,471.49999999998875,53,21,
3701,11,702.1999999999869,57,12,
3701,9,696.3999999999508,59,13,
3726,11,597.0999999999858,57,12,
3726,10,475.4999999999889,53,21,
3726,9,597.7999999999497,59,13,
3751,9,499.79999999994897,59,13,
3751,10,463.69999999998913,53,21,
3751,11,501.99999999998505,57,12,
3776,10,458.09999999998934,53,21,
3776,9,545.8999999999485,59,13,
3776,11,546.6999999999844,57,12,
3801,10,469.1999999999895,53,21,
3801,9,633.2999999999477,59,13,
3801,11,653.3999999999833,57,12,
3826,9,693.4999999999466,59,13,
3826,11,693.0999999999822,57,12,
3826,10,457.3999999999897,53,21,
3851,11,757.099999999981,57,12,
3851,10,436.19999999998987,53,21,
3851,9,719.4999999999454,59,13,
3876,9,696.4999999999443,59,13,
3876,11,774.0999999999799,57,12,
3876,10,399.5999999999901,53,21,
3901,11,722.0999999999788,57,12,
3901,10,370.29999999999023,53,21,
3901,9,699.9999999999432,59,13,
3926,11,727.5999999999776,57,12,
3926,10,346.9999999999904,53,21,
3926,9,701.999999999942,59,13,
3951,10,327.19999999999055,53,21,
3951,11,755.0999999999765,57,12,
3951,9,732.4999999999409,59,13,
3976,11,750.0999999999754,57,12,
3976,10,300.4999999999907,53,21,
4001,10,291.89999999999077,53,21,
4001,11,729.5999999999742,57,12,
4026,11,680.0999999999731,57,12,
4026,10,272.29999999999086,53,21,
4051,10,278.39999999999094,53,21,
4051,11,625.5999999999719,57,12,
4076,11,567.6999999999709,57,12,
4076,10,282.4999999999911,53,21,
4101,10,287.6999999999912,53,21,
4101,11,536.19999999997,57,12,
4126,11,538.3999999999692,57,12,
4126,10,285.1999999999913,53,21,
4151,10,315.69999999999146,53,21,
4151,11,609.3999999999683,57,12,
4176,10,353.9999999999916,53,21,
4176,11,690.5999999999672,57,12,
4201,10,374.89999999999173,53,21,
4201,11,729.099999999966,57,12,
4226,10,390.3999999999919,53,21,
4226,11,783.5999999999649,57,12,
4251,11,839.5999999999638,57,12,
4251,10,403.6999999999921,53,21,
4276,11,860.0999999999626,57,12,
4276,10,415.89999999999225,53,21,
4301,10,437.19999999999243,53,21,
4301,11,752.0999999999615,57,12,
4326,10,456.2999999999926,53,21,
4326,11,681.5999999999603,57,12,
4351,11,741.2999999999593,57,12,
4351,10,547.1999999999925,53,21,
4376,10,662.0999999999915,53,21,
4376,11,868.7999999999581,57,12,
4401,10,726.7999999999904,53,21,
4401,11,957.799999999957,57,12,
4426,10,702.2999999999893,53,21,
4426,11,973.2999999999558,57,12,
4451,11,919.2999999999547,57,12,
4451,10,695.2999999999881,53,21,
4476,11,856.7999999999536,57,12,
4476,10,696.799999999987,53,21,
4501,10,694.2999999999859,53,21,
4501,11,744.2999999999524,57,12,
4526,10,688.2999999999847,53,21,
4526,11,689.2999999999513,57,12,
4551,11,666.7999999999502,57,12,
4551,10,666.4999999999836,53,21,
4576,10,656.4999999999825,53,21,
4576,11,657.1999999999491,57,12,
4601,11,702.0999999999481,57,12,
4601,10,618.6999999999814,53,21,
4626,10,608.5999999999804,53,21,
4626,11,605.299999999947,57,12,
4651,11,577.3999999999462,57,12,
4651,10,577.2999999999795,53,21,
4676,10,565.5999999999785,53,21,
4676,11,567.7999999999454,57,12,
4701,11,616.6999999999443,57,12,
4701,10,616.4999999999775,53,21,
4726,11,698.0999999999433,57,12,
4726,10,694.8999999999764,53,21,
4751,10,700.3999999999753,53,21,
4751,11,751.5999999999422,57,12,
4776,11,771.099999999941,57,12,
4776,10,697.8999999999742,53,21,
4801,10,696.399999999973,53,21,
4801,11,767.5999999999399,57,12,
4826,11,768.5999999999387,57,12,
4826,10,696.3999999999719,53,21,
4851,10,698.3999999999708,53,21,
4851,11,753.5999999999376,57,12,
4876,11,838.5999999999365,57,12,
4901,11,988.0999999999353,57,12,
